IceCream,Pizza
Vanilla,Cheese
Vanilla,Pepperoni
Other,Pepperoni
Other,Pepperoni
Chocolate,Other
Other,Cheese
Vanilla,Cheese
Vanilla,Other
Other,Other
Vanilla,Pepperoni
Other,Other
Vanilla,Pepperoni
Vanilla,Pepperoni
Other,Other
Vanilla,Pepperoni
Chocolate,Pepperoni
Chocolate,Other
Chocolate,Cheese
Other,Cheese
Chocolate,Cheese
Chocolate,Pepperoni
Chocolate,Other
Other,Pepperoni
Other,Cheese
Vanilla,Pepperoni
Vanilla,Cheese
Other,Other
Vanilla,Pepperoni
Other,Other
Chocolate,Pepperoni
Other,Other
Other,Other
Other,Pepperoni
Other,Other
Other,Cheese
Vanilla,Cheese
Chocolate,Other
Chocolate,Cheese
Chocolate,Cheese
Vanilla,Cheese
Vanilla,Pepperoni
Vanilla,Cheese
Other,Pepperoni
Chocolate,Other
Other,Pepperoni
Other,Cheese
Other,Other
Vanilla,Cheese
Chocolate,Other
Vanilla,Other
Other,Pepperoni
Other,Pepperoni
Vanilla,Cheese
Chocolate,Pepperoni
Chocolate,Cheese
Other,Other
Chocolate,Other
Chocolate,Pepperoni
Chocolate,Other
Other,Other
Chocolate,Cheese
Vanilla,Pepperoni
Other,Other
Other,Other
Chocolate,Cheese
Chocolate,Other
Other,Other
Vanilla,Other
Vanilla,Cheese
Vanilla,Pepperoni
Vanilla,Pepperoni
Vanilla,Cheese
Other,Pepperoni
Vanilla,Pepperoni
Chocolate,Cheese
Other,Pepperoni
Vanilla,Other
Other,Other
Other,Other
Vanilla,Cheese
Vanilla,Cheese
Other,Other
Other,Other
Other,Other
Chocolate,Pepperoni
Chocolate,Other
Chocolate,Pepperoni
Chocolate,Cheese
Other,Other
Chocolate,Pepperoni
Chocolate,Pepperoni
Other,Pepperoni
Other,Pepperoni
Chocolate,Other
